xAccl,yAccl,zAccl,newPosition,time,pcTime
-41,20,1004,0,16750177,16845.08490562439
96,-27,976,0,16775184,16870.002031326294
134,-20,979,0,16800189,16895.041704177856
397,-44,968,0,16825195,16920.04680633545
372,-77,911,0,16850195,16945.04690170288
387,-37,923,0,16875199,16969.990968704224
455,-44,905,0,16900203,16995.030879974365
504,-33,890,0,16925210,17019.970893859863
522,-36,882,0,16950214,17045.03083229065
554,-40,855,0,16975218,17070.050716400146
553,-37,857,0,17000225,17095.035791397095
539,-36,865,0,17025232,17120.033740997314
532,-38,851,0,17050236,17145.024061203003
548,-24,893,0,17075241,17169.99888420105
383,32,911,0,17100242,17194.983959197998
414,-42,913,0,17125246,17219.96808052063
362,-45,947,0,17150249,17244.966983795166
288,-31,958,0,17175253,17269.977807998657
150,25,998,0,17200257,17295.027017593384
120,-16,992,0,17225260,17319.987058639526
-112,87,1048,0,17250263,17345.013856887817
-69,-11,1008,0,17275267,17369.979858398438
-139,21,991,0,17300273,17395.05386352539
-226,26,977,0,17325273,17420.045852661133
-252,24,965,0,17350276,17444.990873336792
-364,49,957,0,17375276,17469.982862472534
-456,51,930,0,17400284,17495.001792907715
-404,45,903,0,17425291,17519.99592781067
-540,72,918,0,17450299,17545.022010803223
-498,50,893,0,17475302,17569.997787475586
-560,64,884,0,17500302,17594.98882293701
-566,56,893,0,17525309,17620.024919509888
-507,69,899,0,17550312,17644.986867904663
-507,60,907,0,17575313,17669.981956481934
-462,50,917,0,17600320,17694.992780685425
-401,55,936,0,17625328,17720.03197669983
-464,63,952,0,17650335,17745.017766952515
-245,26,967,0,17675338,17769.975900650024
-231,16,980,0,17700346,17794.999837875366
-155,20,997,0,17725353,17819.96989250183
-63,23,1024,0,17750364,17845.06083
38,0,985,0,17775364,17870.01085281372
114,-2,1000,0,17800368,17894.974946975708
237,15,1011,0,17825375,17920.066833496094
211,-32,975,0,17850379,17945.011854171753
432,-43,968,0,17875382,17970.037698745728
402,-43,899,0,17900390,17995.00799179077
430,-49,913,0,17925397,18019.994974136353
470,-33,900,0,17950400,18044.99101638794
485,-30,894,0,17975401,18069.974899291992
521,-28,882,0,18000409,18095.041751861572
479,-27,905,0,18025412,18119.99487876892
513,-46,899,0,18050412,18144.983768463135
467,-23,905,0,18075419,18169.97480392456
556,-149,894,0,18100422,18195.060968399048
412,-37,936,0,18125423,18220.017910003662
355,82,933,0,18150430,18245.049953460693
